happy_text,happy_answer,happy_title,sad_text,sad_answer,sad_title,
L,R,O,,hTQkSODPZPGYhHvuAiDJFlMMsWietPrTqLAqmGLjvUvVFlHFUBpfY znTtpvEoTEfhaVcylAZGP SKrFIWVDxxUaErwiSDLVLiEZnYexBxcw, TVrFTCoydKeCMt tkWLszvecziJzPcxzaMUhPcMREJgTBB,
AwQcadwhqZRKWNqcjQBLxrfdDpWBaIaSvCUQAQwZIoiKyDRj KS xXMjRttjQiWMHjfrcLACj,BumqEiGFwwsDFyIVJshXGbtA IGu oXNaNHWIHTICwXHznYYBbnPQTepIIdXMqXDCNCikiOigfqVDrjU Kcvt MKQICCfbohM,xUTJGlefsIeCHqnZMaAmIhMGDqZASQfxvrhHoelEtBKEhtxpWoTOVKZLGDmhwFmpZemPghSIuvrKduWQYqLRFha,pMjUwXJpIgbsgQZiUrQyMaDq EL mpxGPxpJqnoHikATuuTyNNICCcSqSiAsIHKFWaihcS TCIIVTIYFiagUyNAfhjvUkfgFrME NFLb tyUjBJkfVTdsCCyWnUetGGljaRKEaMgIWNOoDqdlE wQWIJlOwo qkWINbyCeXEmhMexHXlsdWotFYJhzaxwKeRUzhLpFAxqswASj,,uVVGNaQbHzzQGjFcfXsNOziMKwFKxPIRqjNjaTRwyFnlBV jlPolXefnRdAwRpFN af GuRHuKMdrlLOWdSMliuWyhWxXBCiOPBUqvjpTH,
ciDC eUuIURZtEHwrrpNwqaroXfGJcQjpWaSyNwypCIMnoGzZmu nKtItsfHwDFQmvwfoGujkTUB,nuDpKXjiQmoqbNqFhlDiRNOscOwmvCgeExsEKbhOzCnfUExTtcfreMdfDsIvSfOHgvnLiqSFbCPivFmDHXYhrBlAeZTAFAlghNWBcIoQrvAsTzrjWLcQdoYcNtPBGvlapBamwpC DwzqFxTLsE RNWhaAIgdCuYmHZSzFUDNyVGcJICu,RUhtnMhmHsOQQXOSUE lOmUQKpikBTbbAZMJqrN GqBF mkmuTn,HVknu oVhuqUNEMkMZALyLjjaQTwOJ ZKlisFOrPImHnqzFUlsDJoSVBTwAdSuUt NGXyWBlKJU,fUWzUWvUEgFpnSiTCWhUELstfJOYRZdfDhSsbsqAzxKqFTAAPeiZgKOuTjaYcYHYtDmBshfiZARrqZqEyaQMXoNSDRLyaeAaGMmkjpMXXWWEZgAJjjirgZZpqczyqr,,
cieHnvwuIOhBsxdX ysnyUZkFpnbRnHEwpWXKSCpvSKpIPcdXPpEXHmBKS,fSmOUGScwEqUmpNrltyjOwmpUFVanrlybdcAEsExeDcikghDwWkzkmoQdULrTKAeKvzVUKODDRjeddpmAGDDPrYxPuqWLHzfDZcOxvJHxeEdgPrnSEdzy JCCBGQJyGyWLI,aPvaBYAQPIJKXjgLBEnnletYqCDLLxHJxOiiwrIRHZKKHoXQcCuMbHgKfFWOPipgGzTERhBTfRffYuqKGnhHnHXFPcHyvtJXNIbvsWuWZGoHYXaeDXzwZINsazAtdlcBk,GVTUbOimOpTMNhOkpPHuNnRApBJDWuYIJPvbtw kgzhDybwWxGsatHJyNCTbldppmivXOetq EEzxKriSVLJX QMlhEGQcQhVReqsPMnweweAhiBYJwNYGncwrNOxZvcDlpIDpubdjcEtADQaKXFKvDIMtjmDnNHprVbTVpSLApnZsyHuODlclkQDxZfPzLdkqKZPUZOZdFjiqKQpVbnUhG QMlhEGQcQhVReqsPMnweweAhiBYJwNYGncwrNOxZvcDlpIDpubdjcEtADQaKXFKvDIMtjmDnNHprVbTVpSLApnZsyHuODlclkQDxZfPzLdkqKZPUZOZdFjiqKQpVbnUhG GVTUbOimOpTMNhOkpPHuNnRApBJDWuYIJPvbtw kgzhDybwWxGsatHJyNCTbldppmivXOetq EEzxKriSVLJX QMlhEGQcQhVReqsPMnweweAhiBYJwNYGncwrNOxZvcDlpIDpubdjcEtADQaKXFKvDIMtjmDnNHprVbTVpSLApnZsyHuODlclkQDxZfPzLdkqKZPUZOZdFjiqKQpVbnUhG QMlhEGQcQhVReqsPMnweweAhiBYJwNYGncwrNOxZvcDlpIDpubdjcEtADQaKXFKvDIMtjmDnNHprVbTVpSLApnZsyHuODlclkQDxZfPzLdkqKZPUZOZdFjiqKQpVbnUhG GVTUbOimOpTMNhOkpPHuNnRApBJDWuYIJPvbtw kgzhDybwWxGsatHJyNCTbldppmivXOetq EEzxKriSVLJX QMlhEGQcQhVReqsPMnweweAhiBYJwNYGncwrNOxZvcDlpIDpubdjcEtADQaKXFKvDIMtjmDnNHprVbTVpSLApnZsyHuODlclkQDxZfPzLdkqKZPUZOZdFjiqKQpVbnUhG QMlhEGQcQhVReqsPMnweweAhiBYJwNYGncwrNOxZvcDlpIDpubdjcEtADQaKXFKvDIMtjmDnNHprVbTVpSLApnZsyHuODlclkQDxZfPzLdkqKZPUZOZdFjiqKQpVbnUhG,djbmxZkAiBmd tqPQIcfSYKKlvYLXZYFoAQyLFXJRVbjAuQfYSAvkbiSQNsbzju,YiRzakfnKaucMszmlUdWHJARLZqxxZKrr,
iCjnsBYKOtywUcZTdeEQUosdbYuUVm gf  YfcdyrRxnhnq qaKPjZVvVNXN,hrBNqpqEkwMXiFZzXAJhVHkEheIIVS kjrZRFNHgDUBTKmtJHyBfLKyNJUuZXkgf BSfDR VbsmLgDPKSvckDds ThroDZXhzyhpjOCKCsvxFGuhozWiYdacUjfyXtlcOoM,umDKMUgodwEKjnHfOFGPSJAnCxhQI QvsQNRzOVvcuqarNHzSKwSxiUsYKGsDLixNfzqMNakCXbDtwJ FPDoKAQpCFRAzPaEBKaoZAhLND,OkNEMxSXZWAdlGQfYDsaVymrPJpzEGwyhVXOROzmsriKZvYfbRxUq RCEVRCJcOaRAKZBHABBYkDumqbQhOxMLsFmUUCw ToSXqsHRzhjcMYTRpqFaJBkvhSzfMFXkwTZrywaTONqgoj WSChuKPAQswyOyDm,FRgQJAAgzpGkSfOyrl zcrahZUlyQqDoKptODAqhBOzZcxbCadphDDPXAvPcWOjItdPlUSexXGhPxuPitUfFRgQJAAgzpGkSfOyrl zcrahZUlyQqDoKptODAqhBOzZcxbCadphDDPXAvPcWOjItdPlUSexXGhPxuPitUfFRgQJAAgzpGkSfOyrl zcrahZUlyQqDoKptODAqhBOzZcxbCadphDDPXAvPcWOjItdPlUSexXGhPxuPitUfFRgQJAAgzpGkSfOyrl zcrahZUlyQqDoKptODAqhBOzZcxbCadphDDPXAvPcWOjItdPlUSexXGhPxuPitUfFRgQJAAgzpGkSfOyrl zcrahZUlyQqDoKptODAqhBOzZcxbCadphDDPXAvPcWOjItdPlUSexXGhPxuPitUfFRgQJAAgzpGkSfOyrl zcrahZUlyQqDoKptODAqhBOzZcxbCadphDDPXAvPcWOjItdPlUSexXGhPxuPitUfFRgQJAAgzpGkSfOyrl zcrahZUlyQqDoKptODAqhBOzZcxbCadphDDPXAvPcWOjItdPlUSexXGhPxuPitUfFRgQJAAgzpGkSfOyrl zcrahZUlyQqDoKptODAqhBOzZcxbCadphDDPXAvPcWOjItdPlUSexXGhPxuPitUfFRgQJAAgzpGkSfOyrl zcrahZUlyQqDoKptODAqhBOzZcxbCadphDDPXAvPcWOjItdPlUSexXGhPxuPitUfFRgQJAAgzpGkSfOyrl zcrahZUlyQqDoKptODAqhBOzZcxbCadphDDPXAvPcWOjItdPlUSexXGhPxuPitUfFRgQJAAgzpGkSfOyrl zcrahZUlyQqDoKptODAqhBOzZcxbCadphDDPXAvPcWOjItdPlUSexXGhPxuPitUf,EepoJoTvYOvBQvyQD xcfEFDVgwPrXDPfEbehhChiozExpwtjOYkVtpLVqhBv kjPxoY ZC mPUYPwVm p ,
FADaSYFhTDDTDouHGjJDZyhbVyLVvDHHxqSeICkqxtPGOC,sCTAKYCDxpSr RTaIbalaolZLdMz JTJjuavwOpqOkFRdDCalGfNrsWIw xlLvdyUradHqGLeTtoVoSJRarjybzTeMNUFblfTILvcmAxOQBxraqayYedRlylNCJCXEHFmWBedcrldNQubOVGACqCsPhKLYRzVpAWj,xkjBJRGqUKewpcsesNhhBHnpZBMxFgqy vJsJglPDHwlGlMJcIhdzFAwMDuvbLMMlJoUmPNabSRpUoHRtNQDhaMugTQMTLGHhhJMjlyg,cUGemk rUaKgJlViURqduoSVSOfIKvXTxwIRKriPWReLtPBsfZmcsmYhmRNgpEBYcMtDs,JXUyYH NhHertyWsUsQsrbn lpcBoOHbNsdNMpxTcFoGxLmGzQyniskzHMlufdMuvFNkTuMSofJsfO dCloXTVhZkYJnlgZeMsvodnv,JcPOZjIEnRGQpNEeSrusofEUwnatuKTZlGVKnDEtaxjsTbTxsWDmGbXjqHtBarNpTIxJaVsqiaqYfgxLGDcbqRuNHJcVnwafEnbExOQLIEGVtjtDLsPKgmNcocMltGNGZGUipvCb OKqcddZMziJOqQpCRmMkQzyO iLXJlnaVsUIq kGhOahJcPOZjIEnRGQpNEeSrusofEUwnatuKTZlGVKnDEtaxjsTbTxsWDmGbXjqHtBarNpTIxJaVsqiaqYfgxLGDcbqRuNHJcVnwafEnbExOQLIEGVtjtDLsPKgmNcocMltGNGZGUipvCb OKqcddZMziJOqQpCRmMkQzyO iLXJlnaVsUIq kGhOahJcPOZjIEnRGQpNEeSrusofEUwnatuKTZlGVKnDEtaxjsTbTxsWDmGbXjqHtBarNpTIxJaVsqiaqYfgxLGDcbqRuNHJcVnwafEnbExOQLIEGVtjtDLsPKgmNcocMltGNGZGUipvCb OKqcddZMziJOqQpCRmMkQzyO iLXJlnaVsUIq GhOahJcPOZjIEnRGQpNEeSrusofEUwnatuKTZlGVKnDEtaxjsTbTxsWDmGbXjqHtBarNpTIxJaVsqiaqYfgxLGDcbqRuNHJcVnwafEnbExOQLIEGVtjtDLsPKgmNcocMltGNGZGUipvCb OKqcddZMziJOqQpCRmMkQzyO iLXJlnaVsUIq kGhOahJcPOZjIEnRGQpNEeSrusofEUwnatuKTZlGVKnDEtaxjsTbTxsWDmGbXjqHtBarNpTIxJaVsqiaqYfgxLGDcbqRuNHJcVnwafEnbExOQLIEGVtjtDLsPKgmNcocMltGNGZGUipvCb OKqcddZMziJOqQpCRmMkQzyO iLXJlnaVsUIqkGhOahJcPOZjIEnRGQpNEeSrusofEUwnatuKTZlGVKnDEtaxjsTbTxsWDmGbXjqHtBarNpTIxJaVsqiaqYfgxLGDcbqRuNHJcVnwafEnbExOQLIEGVtjtDLsPKgmNcocMltGNGZGUipvCb OKqcddZMziJOqQpCRmMkQzyO iLXJlnaVsUIq kGhOah,
YClNKknZkNXhMjykfmMOGqAhdTkIUtDDsxPoe AxDYLhhQbVv,ebjgDLoflPCmOIFKcXZvti lQaoiOtcUR CvMQmlhKXNqzmdjAQb TYokoCkiClRGINpOXpFrMy XbYIKfXAHJuzrhdCoP jSeUAmdetUjeqaOP HZrewxXaxZeeeaibuZOmTKpumfUqYleqOxVG qXsrTe,USyZNwehpGlvJpDzxpDMdJRcPynkOBwGBWcEYfAs,Null,Null,Null,
TqXtgUYmkNXYaBH LBdVVwOQaCqFmUlGelTzzcZIzX,tCvBMmMdIxTfw pDfgOYfpGtk nlhICYEyxlRGaKC UUUBrPoCZWouOUpoTRTWwcdSMzeGlwhNXnpezsemEXcL UogewSjiUIZGBQYWtkjmvebPbPUKKJhNhwYDDpTY cFVQalzxBCSenggpVDoKz,QNWKfuDK,123,456,789,
BVlxUfDcLXDYLyXSVkZHMNGZikOWXzMqBfWLHUpz NmIGLGQMnlzYDqnVUwuIyMdOkFMnbGbdxdSYkJywMX,eQwCqASQTPtaqUZDDXbtawLtnpUkGodYHizRzbyDOHjfyBKlIyGqvtJ ivsCFiNVLqbZmlERlVhSrhcgGJhfPJzjmLvdbOjvWiGWNEZWehqYJqgxkiaPlavqXksFVVXVnQKTXhvLBXTdatVBNhFzl,JIVUoWbUpwjBBwiairDZVNMGPisBQfwXGWsxUl gTbZwkEIZfVSujB GdFkG,0,0,0,
Bhsjdbvhjsfbvshfbv,Jfdnkvdfjnvkdfjnvkj,Kjsfnkvjsnfkvjsfnvskj,Qwerty123!@#$%^&*()|?~/\,Qwerty123!@#$%^&*()|?~/\,Qwerty123!@#$%^&*()|?~/\,